City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,12.66,68,52,7.82,SH,1728497479
1,bethel,41.3712,-73.414,18.52,46,20,5.14,US,1728497241
2,kruisfontein,-34.0033,24.7314,17.29,82,3,1.33,ZA,1728497481
3,whitehorse,60.7161,-135.0538,2.12,91,100,4.02,CA,1728497281
4,san luis de la loma,17.2706,-100.8939,28.32,76,70,2.19,MX,1728497484
5,north bend,43.4065,-124.2243,17.36,94,100,2.57,US,1728497485
6,minas de marcona,-15.2119,-75.1103,15.21,78,91,7.54,PE,1728497361
7,georgetown,5.4112,100.3354,26.96,87,20,2.06,MY,1728497015
8,tiksi,71.6872,128.8694,-7.14,83,100,3.31,RU,1728497489
9,keflavik,64.0049,-22.5624,2.24,87,75,1.54,IS,1728497491
10,punta arenas,-53.15,-70.9167,13.06,62,75,5.14,CL,1728497238
11,bhikangaon,21.8667,75.95,26.51,73,87,2.28,IN,1728497494
12,thompson,55.7435,-97.8558,12.11,48,81,4.41,CA,1728497495
13,blackmans bay,-43.0167,147.3167,9.07,69,36,5.54,AU,1728497496
14,olonkinbyen,70.9221,-8.7187,0.47,80,75,5.81,SJ,1728497497
15,hawaiian paradise park,19.5933,-154.9731,25.5,88,40,2.57,US,1728497498
16,vorgashor,67.5833,63.95,-6.82,94,35,3.32,RU,1728497500
17,shimoda,34.6667,138.95,17.37,83,16,8.5,JP,1728497501
18,stanley,54.868,-1.6985,8.49,95,75,9.77,GB,1728497502
19,port-aux-francais,-49.35,70.2167,0.64,56,99,11.69,TF,1728497503
20,san juan sacatepequez,14.7189,-90.6442,22.8,53,75,6.17,GT,1728497264
21,puerto ayora,-0.7393,-90.3518,21.97,90,90,4.02,EC,1728497505
22,lasem,-6.6922,111.4527,26.95,75,44,2.75,ID,1728497507
23,grytviken,-54.2811,-36.5092,-3.11,60,49,0.95,GS,1728497508
24,hithadhoo,-0.6,73.0833,28.05,75,100,9.97,MV,1728497509
25,ilulissat,69.2167,-51.1,2.01,87,75,0.0,GL,1728497393
26,port alfred,-33.5906,26.891,20.46,83,1,4.37,ZA,1728497511
27,hermanus,-34.4187,19.2345,15.45,92,89,1.47,ZA,1728497512
28,invercargill,-46.4,168.35,4.45,92,82,0.89,NZ,1728497513
29,adamstown,-25.066,-130.1015,19.99,76,92,7.74,PN,1728497515
30,wildwood,38.5828,-90.6629,24.67,37,0,2.68,US,1728497516
31,shasta lake,40.6804,-122.3708,27.84,32,93,0.13,US,1728497435
32,tommot,58.9564,126.2925,0.43,81,100,1.51,RU,1728497518
33,cooper's town,26.8667,-77.5167,27.91,81,86,3.76,BS,1728497520
34,bilibino,68.0546,166.4372,-9.3,91,100,2.53,RU,1728497521
35,lebu,-37.6167,-73.65,14.85,73,9,5.73,CL,1728497522
36,kassala,15.451,36.4,34.61,25,36,4.11,SD,1728497523
37,ulety,51.3572,112.4849,-3.91,68,4,1.49,RU,1728497524
38,queenstown,-31.8976,26.8753,21.15,33,81,2.53,ZA,1728497525
39,miandrivazo,-19.5167,45.4667,27.26,57,44,4.9,MG,1728497388
40,cannonvale,-20.2833,148.7,23.66,87,15,2.45,AU,1728497528
41,toliara,-23.35,43.6667,25.4,59,7,7.14,MG,1728497529
42,college,64.8569,-147.8028,0.25,86,100,4.12,US,1728497344
43,margaret river,-33.95,115.0667,8.59,79,4,4.65,AU,1728497532
44,uturoa,-16.7333,-151.4333,25.99,79,100,8.58,PF,1728497534
45,st. john's,47.5649,-52.7093,12.31,89,61,2.68,CA,1728497491
46,remire-montjoly,4.9167,-52.2667,33.02,55,20,5.14,GF,1728497303
47,kelowna,49.8831,-119.4857,15.63,79,100,1.25,CA,1728497411
48,ulladulla,-35.35,150.4667,9.56,86,2,2.4,AU,1728497538
49,albany,42.6001,-73.9662,16.0,53,46,0.89,US,1728497511
50,trinity beach,-16.7888,145.6968,24.94,88,100,2.06,AU,1728497540
51,frontera,26.9333,-101.45,30.18,39,0,2.68,MX,1728497309
52,coquimbo,-29.9533,-71.3436,18.32,55,20,8.23,CL,1728497464
53,khandyga,62.6667,135.6,-6.06,82,100,2.5,RU,1728497533
54,necochea,-38.5473,-58.7368,18.83,44,5,4.01,AR,1728497014
55,mana,5.6592,-53.7767,30.01,68,72,6.59,GF,1728497546
56,iqaluit,63.7506,-68.5145,2.61,85,100,5.81,CA,1728497378
57,crane,31.3974,-102.3501,30.38,24,0,3.57,US,1728497548
58,anadyr,64.75,177.4833,-2.72,86,20,5.0,RU,1728497550
59,wad rawah,15.1603,33.1397,31.25,38,55,8.53,SD,1728497551
60,nago,26.5881,127.9761,23.99,72,15,2.97,JP,1728497552
61,freetown,8.484,-13.2299,27.84,74,75,2.57,SL,1728497481
62,lihue,21.9789,-159.3672,27.08,65,20,7.2,US,1728497554
63,nuku'alofa,-21.1333,-175.2,23.18,72,55,7.18,TO,1728497556
64,tanout,14.9709,8.8879,34.41,12,61,4.65,NE,1728497557
65,ushuaia,-54.8,-68.3,8.33,95,83,2.7,AR,1728497558
66,xilin hot,43.9667,116.0333,1.92,39,0,3.44,CN,1728497559
67,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,80,0,5.0,RU,1728497560
68,howrah,22.5892,88.3103,26.0,83,75,1.54,IN,1728497532
69,afaahiti,-17.75,-149.2833,23.26,87,100,9.5,PF,1728497563
70,upanema,-5.6419,-37.2578,37.5,25,75,3.73,BR,1728497564
71,vadso,70.0744,29.7487,5.09,60,0,8.23,NO,1728497565
72,howard springs,-12.497,131.047,27.95,94,62,0.52,AU,1728497566
73,impfondo,1.6381,18.0667,21.37,98,99,1.44,CG,1728497567
74,bredasdorp,-34.5322,20.0403,16.13,89,64,2.21,ZA,1728497477
75,isafjordur,66.0755,-23.124,3.02,65,100,1.54,IS,1728497570
76,usinsk,65.9939,57.5281,-6.45,93,17,2.65,RU,1728497501
77,waitangi,-43.9535,-176.5597,9.9,89,9,6.71,NZ,1728497572
78,stjordalshalsen,63.4681,10.9262,10.0,93,75,6.17,NO,1728497573
79,colonia,50.9333,6.95,15.36,92,20,6.17,DE,1728497453
80,walvis bay,-22.9575,14.5053,15.16,68,3,4.69,NA,1728497576
81,kenai,60.5544,-151.2583,2.05,93,75,0.0,US,1728497577
82,margate,51.3813,1.3862,14.37,83,100,4.57,GB,1728497464
83,sinabang,2.4803,96.3801,26.0,84,100,1.69,ID,1728497579
84,roma,43.2128,-75.4557,12.05,66,100,3.09,US,1728497543
85,papatowai,-46.5619,169.4708,3.79,90,69,3.88,NZ,1728497582
86,puerto natales,-51.7236,-72.4875,14.25,67,20,10.29,CL,1728497426
87,lagoa,39.05,-27.9833,21.63,88,34,6.15,PT,1728497584
88,at taj,24.2049,23.2857,29.77,18,0,4.98,LY,1728497585
89,la passe,45.5549,-0.8967,15.08,84,100,12.53,FR,1728497586
90,jamestown,42.097,-79.2353,12.8,56,75,6.17,US,1728497589
91,ceeldheer,3.8488,47.1806,25.46,77,21,9.8,SO,1728497590
92,cherdyn',60.403,56.4787,0.11,73,100,3.03,RU,1728497591
93,sainte-anne-des-monts,49.124,-66.4924,10.93,62,4,10.29,CA,1728497592
94,juegang,32.3174,121.1855,14.31,77,31,2.16,CN,1728497594
95,la ronge,55.1001,-105.2842,14.14,47,75,3.6,CA,1728497595
96,beroroha,-21.6667,45.1667,27.03,40,43,3.43,MG,1728497596
97,naze,28.3667,129.4833,22.14,70,7,3.91,JP,1728497597
98,suriapet,17.15,79.6167,24.12,93,71,2.09,IN,1728497598
99,talnakh,69.4865,88.3972,-8.53,85,99,2.08,RU,1728497601
100,taltal,-25.4,-70.4833,16.35,68,0,2.92,CL,1728497421
101,praia da vitoria,38.7333,-27.0667,26.14,73,20,3.17,PT,1728497603
102,west island,-12.1568,96.8225,25.99,83,75,8.23,CC,1728497604
103,inarajan village,13.2736,144.7484,26.89,91,100,8.5,GU,1728497606
104,trabzon,40.9167,39.8333,16.05,82,0,1.54,TR,1728497607
105,katsuura,35.1333,140.3,18.55,87,93,10.33,JP,1728497608
106,lesozavodsk,45.4794,133.4244,7.12,71,13,2.0,RU,1728497609
107,atafu village,-8.5421,-172.5159,28.3,74,62,6.67,TK,1728497610
108,port elizabeth,-33.918,25.5701,20.17,82,3,3.6,ZA,1728497611
109,bikenibeu village,1.3673,173.1241,26.98,83,40,3.6,KI,1728497613
110,luderitz,-26.6481,15.1594,14.54,73,0,2.59,NA,1728497614
111,ubauro,28.1652,69.7289,28.39,21,16,1.52,PK,1728497615
112,shingu,33.7333,135.9833,17.74,80,55,2.38,JP,1728497616
113,sao vicente,-23.9631,-46.3919,24.43,26,87,2.68,BR,1728497618
114,pangai,-19.8,-174.35,24.06,78,40,5.14,TO,1728497619
115,longyearbyen,78.2186,15.6401,-2.09,69,75,8.75,SJ,1728497620
116,sar-e pul,35.8333,66.1667,14.3,64,6,0.81,AF,1728497621
117,maceio,-9.6658,-35.7353,30.69,62,0,7.2,BR,1728497538
118,yellowknife,62.456,-114.3525,4.12,96,100,6.71,CA,1728497625
119,malabar,-33.9667,151.25,13.69,86,100,2.57,AU,1728497626
120,miches,18.9836,-69.0476,30.3,76,92,4.25,DO,1728497627
121,bilaspur,22.0833,82.15,23.68,88,40,0.92,IN,1728497629
122,ponte vedra beach,30.2397,-81.3856,25.0,88,100,5.14,US,1728497334
123,mata-utu,-13.2816,-176.1745,26.77,78,9,6.67,WF,1728497635
124,hasaki,35.7333,140.8333,20.06,77,97,13.15,JP,1728497636
125,tawau,4.2498,117.8871,26.58,82,38,1.97,MY,1728497639
126,rio grande,-32.035,-52.0986,17.86,69,95,8.58,BR,1728497640
127,turtas,58.9417,69.1325,-1.68,70,99,2.56,RU,1728497641
128,pljevlja,43.3333,19.3333,11.57,92,45,2.44,ME,1728497643
129,cabo san lucas,22.8909,-109.9124,32.17,58,40,5.14,MX,1728497645
130,karratha,-20.7377,116.8463,25.59,54,42,7.19,AU,1728497646
131,qaqortoq,60.7167,-46.0333,3.55,77,61,2.04,GL,1728497647
132,pahlgam,34.0333,75.3333,3.17,72,22,3.75,IN,1728497649
133,arno,60.1167,18.6333,11.09,96,100,4.3,SE,1728497651
134,wailua homesteads,22.0669,-159.378,26.74,77,20,7.2,US,1728497652
135,foca,38.6703,26.7566,22.03,71,20,4.37,TR,1728497517
136,santiago de cao,-7.9589,-79.2392,19.07,82,75,5.14,PE,1728497654
137,san andres,12.5847,-81.7006,30.01,79,20,2.57,CO,1728497626
138,karaikal,10.9167,79.8333,26.92,83,99,2.85,IN,1728497656
139,beyneu,45.3167,55.2,15.08,56,38,4.87,KZ,1728497658
140,krasnyy chikoy,50.3643,108.7512,-3.5,77,43,1.45,RU,1728497659
141,la tuque,47.4334,-72.7824,10.14,66,54,3.09,CA,1728497564
142,zhangjiagang,31.865,120.5389,15.05,55,2,1.45,CN,1728497661
143,ataq,14.5377,46.8319,24.98,44,0,3.45,YE,1728497662
144,souillac,-20.5167,57.5167,23.21,68,40,5.14,MU,1728497664
145,turan,16.0678,108.2208,24.99,88,40,0.51,VN,1728497665
146,east london,-33.0153,27.9116,20.52,88,0,2.57,ZA,1728497542
147,watertown,42.3709,-71.1828,18.63,44,40,7.2,US,1728497581
148,korla,41.7597,86.1469,16.6,37,0,1.59,CN,1728497668
149,batyrevo,55.0675,47.6111,7.01,77,84,4.26,RU,1728497669
150,happy valley-goose bay,53.3168,-60.3315,8.17,76,75,6.69,CA,1728497670
151,nova vicosa,-17.8919,-39.3719,28.71,65,7,6.71,BR,1728497672
152,utrik,11.2278,169.8474,27.76,81,97,9.14,MH,1728497673
153,espinosa,-14.9261,-42.8192,37.15,19,62,2.77,BR,1728497674
154,avarua,-21.2078,-159.775,24.03,69,20,6.17,CK,1728497675
155,zwedru,6.0667,-8.1281,26.22,81,63,0.74,LR,1728497676
156,ancud,-41.8697,-73.8203,13.58,70,34,4.7,CL,1728497511
157,kalengwa,-13.4659,25.0027,21.87,22,3,2.55,ZM,1728497678
158,okhotsk,59.3833,143.3,-0.57,56,42,2.76,RU,1728497680
159,nar'yan-mar,67.6713,53.087,-1.9,73,10,1.82,RU,1728497681
160,smithers,54.7804,-127.1743,7.52,70,91,1.15,CA,1728497682
161,nemuro,43.3236,145.575,12.85,62,100,5.66,JP,1728497654
162,klyuchi,52.2667,79.1667,9.87,70,98,4.16,RU,1728497684
163,carnarvon,-24.8667,113.6333,20.53,83,30,4.15,AU,1728497685
164,velikiy ustyug,60.7644,46.3106,0.24,68,99,3.96,RU,1728497687
165,yashkul',46.1711,45.3435,15.53,58,7,2.87,RU,1728497688
166,fort bragg,35.139,-79.006,23.15,50,0,4.12,US,1728497689
167,hotan,37.0997,79.9269,16.13,39,80,2.74,CN,1728497690
168,simanggang,1.2472,111.4528,24.99,94,98,0.0,MY,1728497691
169,shiyan,32.6475,110.7781,19.98,50,100,2.46,CN,1728497692
170,whangarei,-35.7317,174.3239,7.03,91,96,0.97,NZ,1728497572
171,abidjan,5.3094,-4.0197,26.98,78,40,3.09,CI,1728497695
172,ad dabbah,18.05,30.95,37.29,19,72,3.64,SD,1728497696
173,ar ruways,24.1103,52.7306,30.07,65,2,3.99,AE,1728497697
174,zeya,53.75,127.2667,5.0,58,100,5.32,RU,1728497698
175,harper,4.375,-7.7169,25.89,84,99,2.69,LR,1728497435
176,muskogee,35.5834,-95.3336,27.12,33,0,1.63,US,1728497430
177,houghton,47.1219,-88.569,14.71,66,40,1.54,US,1728497424
178,penzance,50.1186,-5.5371,13.38,86,13,12.21,GB,1728497666
179,pacific grove,36.6177,-121.9166,18.83,95,100,5.36,US,1728497704
180,peru,40.7537,-86.0689,22.34,37,0,1.54,US,1728497528
181,pangody,65.85,74.4859,-3.33,84,99,8.99,RU,1728497706
182,chonchi,-42.6128,-73.8092,20.07,47,48,1.16,CL,1728497709
183,sitka,57.0531,-135.33,8.94,81,100,3.6,US,1728497710
184,nova olinda do norte,-3.8881,-59.0942,41.94,19,51,2.44,BR,1728497711
185,saipan,15.1355,145.701,28.39,89,40,4.63,MP,1728497712
186,dudinka,69.4058,86.1778,-5.65,87,100,9.75,RU,1728497558
187,yaren,-0.5472,166.916,27.06,68,78,0.75,NR,1728497715
188,hermiston,45.8404,-119.2895,23.36,50,0,5.66,US,1728497716
189,shenjiamen,29.9576,122.298,18.05,68,1,3.61,CN,1728497717
190,ribeira grande,38.5167,-28.7,24.22,94,40,4.12,PT,1728497718
191,aasiaat,68.7098,-52.8699,1.67,91,99,3.49,GL,1728497720
192,shamva,-17.3116,31.5756,21.12,30,1,4.45,ZW,1728497721
193,touros,-5.1989,-35.4608,28.04,65,12,6.07,BR,1728497722
194,kodiak,57.79,-152.4072,2.73,65,0,2.57,US,1728497723
195,gumdag,39.2061,54.5906,21.17,48,0,2.17,TM,1728497519
196,mokhotlong,-29.2894,29.0675,14.59,49,80,2.38,LS,1728497725
197,el calafate,-50.3408,-72.2768,9.72,79,100,3.95,AR,1728497726
198,sydney mines,46.2367,-60.2177,16.84,67,40,6.69,CA,1728497728
199,saurimo,-9.6608,20.3916,24.97,54,69,3.8,AO,1728497729
200,lata,40.1629,-8.3327,13.95,90,76,3.26,PT,1728497730
201,saint-leu,-21.15,55.2833,21.48,96,41,5.45,RE,1728497731
202,alaghsas,17.0187,8.0168,34.94,12,0,3.09,NE,1728497568
203,oblivskaya,48.5362,42.5014,11.68,69,9,2.63,RU,1728497733
204,oranjemund,-28.55,16.4333,14.25,82,0,1.26,NA,1728497735
205,boyolangu,-8.1181,111.8935,24.02,97,61,1.14,ID,1728497737
206,yarmouth,41.7057,-70.2286,18.31,60,40,5.14,US,1728497738
207,kayangel,8.0823,134.7173,28.89,74,100,3.34,PW,1728497740
208,argo,37.6333,22.7333,22.12,62,73,0.89,GR,1728497742
209,terrace,54.5163,-128.6035,7.95,100,75,5.66,CA,1728497743
210,tshabong,-26.05,22.45,28.0,15,81,4.71,BW,1728497744
211,kolonia,50.9333,6.95,15.36,92,20,6.17,DE,1728497719
212,bratsk,56.1325,101.6142,0.27,80,75,8.54,RU,1728497746
213,badger,64.8,-147.5333,0.2,91,100,3.6,US,1728497747
214,enewetak,11.3474,162.3373,28.49,74,97,2.51,MH,1728497749
215,port lincoln,-34.7333,135.8667,13.01,67,8,10.06,AU,1728497750
216,kaa-khem,51.6833,94.7333,6.14,46,100,0.84,RU,1728497751
217,isangel,-19.55,169.2667,21.64,89,79,2.41,VU,1728497752
218,pueblo nuevo,23.3833,-105.3833,15.38,54,93,1.17,MX,1728497753
219,ust-nera,64.5667,143.2,-10.5,90,10,1.68,RU,1728497754
220,igarka,67.4667,86.5833,-6.1,94,100,3.52,RU,1728497755
221,kununurra,-15.7667,128.7333,26.99,74,72,2.57,AU,1728497757
222,abou el hassan,36.4166,1.1962,25.69,56,90,5.12,DZ,1728497758
223,korocha,50.8107,37.1953,10.4,82,13,2.25,RU,1728497759
224,rikaze,29.25,88.8833,10.35,47,22,1.96,CN,1728497760
225,nova sintra,14.8667,-24.7167,27.44,79,5,8.75,CV,1728497761
226,kourou,5.1552,-52.6478,31.08,56,93,5.18,GF,1728497762
227,maumere,-8.6199,122.2111,26.44,83,51,2.57,ID,1728497764
228,vila velha,-20.3297,-40.2925,27.97,85,20,3.6,BR,1728497765
229,bayganin,48.6947,55.8742,12.96,78,100,1.79,KZ,1728497766
230,alofi,-19.0595,-169.9187,22.94,88,40,5.14,NU,1728497714
231,cabedelo,-6.9811,-34.8339,29.37,65,46,5.06,BR,1728497731
232,vorkuta,67.5,64.0,-6.52,94,36,3.42,RU,1728497769
233,amontada,-3.3617,-39.8317,34.49,39,61,6.63,BR,1728497770
234,onega,63.9061,38.1404,1.11,73,73,7.2,RU,1728497772
235,kristiansund,63.1115,7.732,6.36,81,75,4.12,NO,1728497773
236,yangzhou,32.3972,119.4358,13.25,90,10,1.97,CN,1728497774
237,jiazi,22.8779,116.067,23.28,86,0,3.83,CN,1728497775
238,lubang,13.8584,120.124,28.63,74,90,0.9,PH,1728497776
239,rockland,41.1668,-74.0496,19.97,46,65,0.89,US,1728497777
240,holyhead,53.3062,-4.6321,11.96,87,100,8.23,GB,1728497779
241,chui,-33.6971,-53.4616,17.03,64,100,5.98,UY,1728497780
242,port saint john's,-31.6229,29.5448,22.34,82,59,4.01,ZA,1728497781
243,mermoz boabab,14.7065,-17.4758,29.88,74,40,3.09,SN,1728497782
244,cururupu,-1.8283,-44.8683,32.33,46,62,3.3,BR,1728497783
245,amahai,-3.3333,128.9167,26.05,86,57,1.49,ID,1728497784
246,brak,27.5496,14.2714,33.43,20,0,2.81,LY,1728497786
247,karagandy,49.8019,73.1021,0.97,37,95,1.61,KZ,1728497788
248,otradnyy,53.376,51.3452,13.33,85,100,2.46,RU,1728497789
249,marsa alam,25.0757,34.8918,28.3,51,0,2.89,EG,1728497565
250,batang,-6.4846,110.7083,27.37,75,58,2.41,ID,1728497792
251,gilgit,35.9221,74.3087,15.85,46,97,0.82,PK,1728497794
252,tucuma,-0.1833,-50.05,32.38,50,54,4.73,BR,1728497795
253,huai khot,15.2909,99.6166,24.58,85,99,1.32,TH,1728497796
254,cromer,52.9312,1.2989,13.0,87,100,5.81,GB,1728497799
255,vicente guerrero,19.1194,-98.1708,20.66,54,73,2.81,MX,1728497800
256,jabor,5.921,169.6434,28.37,72,69,2.72,MH,1728497802
257,sisimiut,66.9395,-53.6735,2.84,79,99,0.81,GL,1728497803
258,geraldton,-28.7667,114.6,13.23,88,3,3.6,AU,1728497806
259,sorochinsk,52.4338,53.1583,12.67,89,100,1.8,RU,1728497807
260,san antonio de pale,-1.4014,5.6325,25.25,81,25,5.08,GQ,1728497809
261,bubaque,11.2833,-15.8333,27.35,82,79,5.79,GW,1728497811
262,el jadid,33.2549,-8.506,21.82,82,13,7.14,MA,1728497812
263,codrington,-38.2667,141.9667,15.04,24,43,8.26,AU,1728497813
264,kuqa,41.7278,82.9364,17.76,32,0,1.72,CN,1728497814
265,kangding,30.0513,101.9603,9.62,98,96,1.72,CN,1728497815
266,harstad,68.799,16.5293,7.86,83,100,16.09,NO,1728497817
267,harrai,22.6167,79.2167,23.23,80,73,1.92,IN,1728497818
268,karangampel,-6.4622,108.4519,27.19,70,90,2.66,ID,1728497820
269,pakuranga,-36.8833,174.9167,11.81,66,75,3.6,NZ,1728497821
270,phan rang-thap cham,11.5667,108.9833,24.44,89,24,1.83,VN,1728497542
271,maturin,9.75,-63.1767,25.91,100,51,0.51,VE,1728497823
272,warmbad,-28.45,18.7333,26.54,15,0,4.73,NA,1728497825
273,lucapa,-8.4192,20.7447,19.28,81,61,2.19,AO,1728497826
